# link_lengths=0.55,0.4
theta_0,theta_1,gt_x,gt_y
-2.957059100000000197e-03,2.508547592160000050e+01,9.494932441566474868e-01,-2.170688267543387923e-02
-2.917689700000000025e-03,2.508551788329999965e+01,9.494949396081002746e-01,-2.165273811190834494e-02
-2.945351200000000200e-03,2.508541870119999828e+01,9.494923488328212979e-01,-2.171862538338979395e-02
-2.955628999999999982e-03,2.508540725710000174e+01,9.494918954784794529e-01,-2.173295592871409346e-02
-2.936043499999999896e-03,2.508549118039999826e+01,9.494940063598937829e-01,-2.168083266744041601e-02
-3.047486800000000131e-03,2.508537483219999942e+01,9.494892417520212069e-01,-2.183312756566024165e-02
-2.886122999999999987e-03,2.508554458620000105e+01,9.494961575013819433e-01,-2.161209791924356000e-02
-2.855598200000000059e-03,2.508547592160000050e+01,9.494954416693054400e-01,-2.161054612477437617e-02
-2.937646300000000023e-03,2.508551788329999965e+01,9.494945073039912087e-01,-2.167168679830709654e-02
-2.979536499999999814e-03,2.508544921880000089e+01,9.494922194146531158e-01,-2.173889244258687264e-02
-2.849129299999999827e-03,2.508548355099999938e+01,9.494957343074983402e-01,-2.160135600405659745e-02
-2.892730100000000075e-03,2.508732795719999942e+01,9.495310956183867779e-01,-2.090588615379979781e-02
-5.571102000000000519e-04,2.509415435789999904e+01,9.496935035256708346e-01,-1.596000474689443852e-02
-1.476647700000000007e-03,2.509770202640000036e+01,9.497327485368785016e-01,-1.541525013019115140e-02
1.344473999999999962e-04,2.518699836729999930e+01,9.494084519628105401e-01,2.181985441616720797e-02
6.764019799999999860e-03,2.541575050349999998e+01,9.333108893804393791e-01,1.180141739941248241e-01
8.922305900000000040e-03,2.568149185180000060e+01,8.893736776118963405e-01,2.165924585885837805e-01
9.548777700000000285e-03,2.593502044679999941e+01,8.252442410374737358e-01,2.954702934329428432e-01
1.222365350000000073e-02,2.616285705570000175e+01,7.516394290037469172e-01,3.521573054168043448e-01
1.487444620000000044e-02,2.636771774289999826e+01,6.761246756848604544e-01,3.877556890586968952e-01
1.433295379999999924e-02,2.659994316099999878e+01,5.856006885815622232e-01,4.062903914878748246e-01
1.426262499999999926e-02,2.686914443970000121e+01,4.783835840331835954e-01,4.013909962472073101e-01
