# link_lengths=0.25,0.65
theta_0,theta_1,gt_x,gt_y
-1.568322857764863798e+00,2.028758912318524565e-01,1.331593417369103249e-01,-8.863426094667837818e-01
1.280985161653314108e-01,9.553182535914075402e-01,5.523545613961712286e-01,6.062531171065871360e-01
4.194749858632378370e-01,-6.942576523152612644e-01,8.539404478680934218e-01,-7.454929304958991809e-02
1.774639493089842368e-01,1.654388776995277865e+00,7.830779273952404029e-02,6.721100891933384780e-01
-2.253887174385267311e+00,-3.136851284356246605e+00,2.500823550287215036e-01,3.121897961033540669e-01
-2.680325421395058694e+00,2.479155166542905242e+00,4.130194202639352330e-01,-2.411512935988252004e-01
-3.097871112553689521e-01,-1.433659639876109004e+00,1.264335427047137972e-01,-7.165503575494472921e-01
-2.512352982168515769e+00,-2.122327492174909569e+00,-2.525785132694887691e-01,5.009058831937656109e-01
5.478863081816109926e-02,-1.869270130319578893e+00,9.279251049496042847e-02,-6.171057078313060273e-01
-1.415867022567429245e+00,-1.490308265334650439e+00,-5.934935367069633649e-01,-3.986173691508305694e-01
1.803188389856678064e+00,-1.631745461516275864e+00,5.828942698097963060e-01,3.541723637358085153e-01
-1.105003259153446216e+00,3.372851211205225574e-01,5.799561147435501329e-01,-6.747883292555716395e-01
2.273049111348337092e+00,2.188020373627679760e+00,-3.231282112841042942e-01,-4.387330934507542857e-01
-1.893902666963713566e+00,1.252882121099956336e+00,4.415873971454795655e-01,-6.257723310181999565e-01
-2.332881582650832453e+00,2.127880892281058145e+00,4.637816949047520176e-01,-3.131685578836415629e-01
-2.447656886392417519e+00,-2.875421660486456865e+00,1.805474452056674006e-01,3.726223930455017652e-01
-6.954138405949081836e-01,-2.514801097408102315e+00,-4.565230150166122436e-01,-1.156063232309590821e-01
-3.073831820568423190e+00,-6.826130479358902825e-01,-7.803844357603835213e-01,3.580173282328828477e-01
-1.086203219166574918e-01,2.194655746384215789e+00,-7.175624529276328212e-02,5.385119924299058836e-01
1.824087713314682446e+00,-1.262545721471654447e+00,4.875348428583196614e-01,5.881430353620435980e-01
-1.338111125010410296e+00,-1.293606490973164602e+00,-5.096757806984265615e-01,-5.605069988068259734e-01
2.872073572313547096e+00,-1.313669773698987742e+00,-2.329198281217842448e-01,7.165170664414919344e-01
-1.994166449470402558e+00,-7.757144603896732882e-01,-7.083183799362010591e-01,-4.640144131972597785e-01
-4.969538402214155326e-01,6.887241777938730714e-01,8.578441528017441975e-01,4.700584692000922549e-03
-1.907131431024620127e-01,-2.923744966789691979e+00,-4.042933970568440838e-01,-6.502507823220120275e-02
2.329876752294381959e+00,-2.167814615531174383e+00,4.694191683080897182e-01,2.862471863617092049e-01
-1.074488576875690882e+00,-3.126237331185646617e+00,-1.992126994882220392e-01,3.469187438331479134e-01
-9.422663575005918446e-01,2.007971915595544665e+00,4.615155440455263047e-01,3.666116876078854836e-01
1.680491258716740433e+00,2.634102168978339265e+00,-2.791702966198136293e-01,-3.507487995094382693e-01
1.532459596551168701e+00,8.048698437102870251e-01,-4.412855593354845229e-01,7.180241613654773092e-01
2.528763461923049682e+00,-3.356440344162470168e-01,-5.834068001369964174e-01,6.719382244445473162e-01
-1.231055591464270238e+00,-2.669204934579424648e+00,-3.884288495807141639e-01,2.114606452573117856e-01
-4.282445386151323419e-02,-2.640072734366324170e+00,-3.330392790812644055e-01,-2.985090600936692318e-01
-2.839516687974823927e+00,1.284098847574155933e+00,-2.286846131462614840e-01,-7.242988432524036790e-01
2.731653120561698955e+00,-1.697885945178895462e+00,1.032444115824805164e-01,6.581394722040464496e-01
1.455556099728119612e+00,1.767142658982560732e+00,-6.191169252700622350e-01,1.956806095832743231e-01
-1.294008448138260992e+00,-2.209327162087438179e+00,-5.396161120262266131e-01,-1.044634046601472521e-02
2.812834387739200359e+00,-2.933891564368688698e+00,4.086319933475497934e-01,2.221897162838396000e-03
9.882285492678226646e-01,2.973482063203679360e+00,-3.058452278744805408e-01,-2.665339215706029607e-01
3.064643012167604930e-01,-2.082513146547806393e+00,1.058722027155830359e-01,-5.609338137297452676e-01
2.747846606947857317e+00,2.453466721116994265e+00,7.442015373334276429e-02,-4.779324526508360593e-01
-2.963644737672861851e+00,-2.771451596307539234e-03,-8.861045209947524537e-01,-1.575358045653981465e-01
6.306123724069170322e-01,1.684403618462284591e+00,-2.383920473799704953e-01,6.255607360822343921e-01
-2.465696790068169442e+00,2.321985735484186186e+00,4.482626585544948750e-01,-2.494900972945471307e-01
1.849548135369663449e+00,-2.290035766222816349e+00,5.191645422733087711e-01,-3.679748092189419340e-02
1.177685430121077736e+00,1.023781246041722603e+00,-2.875301192360198432e-01,7.558915209351644293e-01
1.285258763836755413e+00,-5.133922054844086702e-02,2.852700005834636898e-01,8.533421453632755727e-01
-1.298567457403022596e+00,-2.431025062825460381e-01,8.614918225906498250e-02,-8.905178057032381300e-01
1.008456420237662243e+00,-1.212793106128554621e+00,7.697690786943982566e-01,7.960596802996586230e-02
1.671423236401322399e+00,5.886866524689771119e-01,-4.385192465229837966e-01,7.503291505454631194e-01
-9.686474427195621573e-01,-2.281883613635911523e+00,-5.045431710927272828e-01,-1.353601019765590108e-01
-4.084602742301863820e-01,6.960475110361530326e-01,8.527385345626781188e-01,8.506641128663966489e-02
5.987403822270529474e-01,-9.974607067057306153e-02,7.772533243935689784e-01,4.519533736618429609e-01
-1.506819660136659023e+00,-1.470575226123211232e+00,-6.252741160521724240e-01,-3.557381595229258120e-01
2.173918807023228261e+00,5.623137259589174874e-01,-7.391284908296642531e-01,4.622194469820884999e-01
2.622621731242206877e+00,6.497008974996583142e-01,-8.615360619744114601e-01,3.926405508016574120e-02
-1.803474086089318140e+00,-1.417409665747519476e+00,-7.056037567018340617e-01,-1.917778833482832734e-01
3.597210479327181964e-01,-8.772891043180179871e-01,7.988650115598919799e-01,-2.335960318082174469e-01
-2.383572614793706634e+00,-3.103513076903234857e+00,2.731249320738921016e-01,2.926403540331183883e-01
-2.002342511604001452e+00,-2.686811507085142381e+00,-1.196702993871425619e-01,4.227445262479068155e-01
-8.928291791614189066e-01,-2.938296272177212565e+00,-3.447004007400257253e-01,2.188025715275856431e-01
2.760306197114111626e+00,1.166217523120295141e+00,-6.918807179096760906e-01,-3.663759587097916159e-01
5.281471882269217488e-02,1.130186954569141200e+00,4.954474424034677749e-01,6.149319593849762455e-01
2.939864350883475197e+00,-3.120916240500025474e+00,3.944452005827972507e-01,-6.695111871143150095e-02
2.118998415692510129e+00,2.186583305849202574e+00,-3.874798671722705645e-01,-3.835869995359184603e-01
8.740611205115378368e-03,-2.560946012057343957e+00,-2.903424803819822930e-01,-3.591185202396209308e-01
-1.235853766804111187e+00,2.177545236198597856e+00,4.646525250023536557e-01,2.894531613596725839e-01
1.620777618823525223e+00,-2.610586263665804818e+00,3.442622673040183212e-01,-2.936608308217701913e-01
2.352671064479398666e+00,2.597169766078859965e+00,-2.325535697529737544e-02,-4.543628834419508600e-01
-1.458365876666110061e-01,-1.803194679686126456e+00,7.313686034310984407e-03,-6.403866723276637751e-01
4.799844347697135305e-02,-2.030999830135833406e+00,-1.069785736827935652e-02,-5.835607598416748809e-01
3.228700055211857212e-01,5.003842763908084024e-01,6.789770343758312343e-01,5.560077544197566946e-01
-1.004462472408441442e+00,-1.211001119279928817e+00,-2.564706614529240758e-01,-7.305132662868769611e-01
2.665961150883937592e+00,-2.942255269803630835e+00,4.030965021003458659e-01,-6.283994454451344303e-02
6.681767731154937273e-01,-4.220118871421396634e-02,7.229928894418611307e-01,5.357162700173241365e-01
1.706873923608840826e+00,-2.152026752005834709e+00,5.527396584404699054e-01,-3.219835242499588523e-02
-6.410965389759448740e-01,2.518893874479695150e+00,3.929308208126258695e-03,4.700900473062312734e-01
-2.724880249180864578e+00,1.056110127760198303e+00,-2.921872734255623882e-01,-7.480719605951654527e-01
4.077967605879884161e-02,2.860581075441174903e+00,-3.815416801904158994e-01,1.648452125593785622e-01
1.802531667705175700e+00,1.070614784020328614e+00,-6.841364223758007457e-01,4.157191740328810003e-01
-2.445197033013584154e-01,-1.551535039273256311e+00,9.738056105981671151e-02,-6.941012589750066297e-01
1.342449686508194517e+00,1.722165282330580638e+00,-5.914832945175266810e-01,2.934965931924143345e-01
2.515913118637413959e+00,-2.428640979455871207e+00,4.448848976013405343e-01,2.030669624208631951e-01
2.268344394056754254e+00,1.209743991023421117e+00,-7.741314796973476353e-01,-2.301303452681061068e-02
-1.332180086378311756e+00,-1.859557140301749234e+00,-5.900933905420422398e-01,-2.103361772664150697e-01
-3.068268988176351186e+00,2.496590130891841675e+00,2.973177294925352099e-01,-3.699935626229779451e-01
-2.286361809512075904e+00,1.394709419339850598e+00,2.442715664022604705e-01,-6.944525633354570182e-01
-2.046197531207803788e+00,-8.282454967141932300e-01,-7.413665216454993212e-01,-3.938664028369439074e-01
-1.185008166238113780e+00,2.532581276038067486e+00,2.379654801246514073e-01,4.022473008590716770e-01
1.910515364657427106e+00,1.249252423112981347e+00,-7.331981940709541012e-01,2.238988945842356193e-01
-1.731443472151757090e+00,2.457941469728399220e+00,4.458891215134879182e-01,1.849853728875645587e-01
-9.010763203991185577e-01,-2.353291472087956304e+00,-4.906793291691411429e-01,-1.228503202924681181e-01
3.007670332427331950e+00,-3.119495776012488619e+00,3.981786809251984249e-01,-3.915455309465763756e-02
2.876828963565999153e+00,2.475364557772312679e-01,-8.911921410922472031e-01,7.661744836051097296e-02
-1.444799923590457391e+00,-9.234067490273765166e-01,-4.336913226798772003e-01,-7.020835860500965753e-01
