# link_lengths=0.3,0.3,0.3
theta_0,theta_1,theta_2,gt_x,gt_y
4.002835003323119700e-01,3.120952221360288270e+00,2.901544086836147507e+00,2.947278259026390734e-01,4.746961317718675216e-02
8.088223234345810475e-01,7.726795554442982272e-01,9.848040011656999937e-01,-4.781721822953102774e-02,6.802478366222867168e-01
-2.197235069269104724e+00,2.460024081308865185e+00,9.876863407567926245e-02,3.944258266883445829e-01,-5.898421588659505388e-02
-1.445984595903976766e+00,-4.604817732253705387e-01,1.726345653569238969e-01,-1.101684400866353442e-01,-8.769450178773410265e-01
1.615178355900444451e+00,-1.744609761675755877e+00,-1.625992313848300119e+00,2.291063132387042289e-01,-3.391793043602620017e-02
-2.241642880541968808e+00,1.684132183416771511e+00,-2.261431981839770344e+00,-2.164419109234052285e-01,-4.888356209228218452e-01
-1.809665670172426299e+00,-3.043743158875322319e+00,2.331200709053247166e+00,-2.730861668287160038e-01,-1.686201243673813299e-01
6.930694681521929468e-01,-1.392889632105408504e+00,1.623825204510240816e+00,6.410626417103593155e-01,2.378528794029589333e-01
9.883268784109322525e-01,-2.064457040143957478e+00,8.053590321832242438e-01,5.965171952732126748e-01,-9.374850254093193558e-02
2.135064169987259675e+00,1.650332454980018682e+00,2.140905704555014388e+00,-1.192875674928453034e-01,-3.138515867035061857e-02
2.850066785563129201e+00,2.379582699190268436e+00,-9.907881275741363680e-01,-2.758002369863153391e-01,-4.415184627399295625e-01
2.366587041379002443e+00,2.201448312479456604e+00,-1.350073979725858964e+00,-5.566065727624800452e-01,-1.098520559687932580e-01
-9.847568506242634356e-01,5.145131878336832720e-01,-2.412634162094547730e+00,1.433412136116594127e-01,-4.626238544075866876e-01
-2.605953379414881255e+00,1.401854779031300069e+00,3.642810605468445040e-01,4.985724690442575047e-02,-6.565285853824273099e-01
7.005434492817292913e-01,3.221084138540830644e-01,1.965111693807235049e+00,8.922143906874518970e-02,4.954047875281249458e-01
2.360659959299565180e+00,3.572256348591977826e-01,-8.469797530259342011e-01,-5.752359569113405513e-01,6.211166449193102901e-01
1.570369101234559750e+00,-2.545177277537659766e+00,2.498808711710354125e-01,3.930905004417529214e-01,-1.472026043143589702e-01
-1.375838586414520615e+00,2.854883433959673589e+00,1.763286217472030515e+00,-2.128746896414352163e-01,-2.574905518063169696e-02
2.214036699271686004e+00,1.719666911932468345e+00,-1.920375247353732107e+00,-5.191093726248425799e-01,2.975967623870806045e-01
3.897629255201047194e-01,1.619335656665930046e+00,-5.720529989755194222e-01,1.901846005802458606e-01,6.829533969780632319e-01
2.192175752439201375e+00,-2.487444050530843054e+00,2.716115317162355325e-01,4.122861007486027241e-01,1.495275240178324250e-01
2.535905375582842680e+00,1.412873950331451134e+00,-2.612265711344218033e+00,-3.844497034529890667e-01,2.458991431337092526e-01
6.899689891347948745e-02,-3.493150658841672751e-01,-2.248388994766687077e+00,3.421789551030844923e-01,-2.348848207429006796e-01
-6.092956978522328093e-01,-2.348302880591243369e+00,-1.737110405612487529e+00,-5.422457359271212057e-02,7.337879823175638694e-02
-7.640330957412602153e-01,-1.518477723552999370e+00,2.619202427186282378e+00,3.038314287395370572e-01,-3.356148283346253591e-01
9.795031079012934683e-01,-1.767636579420990728e+00,-1.325532462172550385e+00,2.238029912483590345e-01,-2.205142752925498550e-01
-7.420019653043441465e-02,-1.408089155218598121e+00,1.519821569339493195e+00,6.254806933476773079e-01,-3.098083607003106477e-01
-4.553503026019742883e-01,2.427891240684217244e+00,-1.195651346620950628e+00,3.660539903663422301e-01,3.545004144721956019e-01
-5.697436608642192368e-03,1.196880397859726664e+00,1.850732924047652439e+00,1.126526324936482082e-01,3.067867096653817960e-01
2.639295475222077414e+00,-1.652878529850005274e+00,5.207245391496293507e-01,-7.835555975008938467e-02,6.940408741696706407e-01
2.713221080121403617e+00,1.019520020974824526e+00,6.222090303993002003e-01,-6.269462024504941500e-01,-3.236162585602986863e-01
-1.014807380047669128e+00,2.341628730388976010e-01,2.004348774575349879e+00,4.735225175523354313e-01,-1.838251504522828150e-01
2.335493509085161179e+00,-2.759096573676540043e+00,1.706083727268024930e+00,1.510899376786969117e-01,3.807805424569534747e-01
2.625180819662763732e+00,2.232465994151339395e+00,1.605262733832643285e+00,7.771322980349226750e-02,-9.508418673530416587e-02
1.160796109606282656e+00,-1.212005344810632490e+00,1.040702971080084360e+00,5.839234983024472747e-01,5.105045907945330308e-01
-4.207541055792418661e-02,-8.154596395465829595e-01,1.696277613192220812e+00,6.965451384829275394e-01,-1.634753833856922300e-02
-9.973609126082125798e-01,2.812084737701540327e+00,3.031639633088830443e+00,1.303738424264856699e-01,-2.582052232682628401e-01
-1.950684199418389442e+00,-3.219930493950728945e-01,-5.213190371057083716e-01,-5.869997077189199608e-01,-6.098922733080467395e-01
-6.031862443226967407e-01,-1.112487933507962712e+00,3.124937840613628559e+00,2.519975654192558312e-01,-1.709432787377347385e-01
2.320914460129527512e+00,1.532889656327326655e+00,1.030319730545135926e+00,-3.803255270904343788e-01,-2.721572101247909936e-01
1.683743276285011525e+00,9.960408810300922511e-01,-2.854135026004660958e+00,-6.934728594228722898e-03,3.797181824597502531e-01
-2.954800121954751280e+00,7.774791280007522509e-01,-1.243350556056233902e+00,-7.541789943143757391e-01,-2.195615551932343368e-01
-1.168391704011456422e+00,-9.459261831015002286e-01,-1.935598425678077827e+00,-2.221768846630879923e-01,-2.962622849363911182e-01
-1.268124174931412051e+00,1.356084958406532870e+00,-5.300837729854630531e-01,6.594153769941282217e-01,-3.883665858116444047e-01
1.094814210770634233e+00,-2.964038274888885383e+00,7.144593400510226289e-01,1.704982695508295287e-01,-2.944970135797954081e-01
