# link_lengths=0.4,0.35,0.25
theta_0,theta_1,theta_2,gt_x,gt_y
-4.189012416896531477e-02,1.323829892960844745e+00,2.564869793796371589e-01,5.074397961006029689e-01,5.686174647500233936e-01
-1.638040255660008881e+00,2.709555322381071996e+00,2.388296847115921828e+00,-9.674769252842951861e-02,-1.700405007913189104e-01
-5.772262569854018643e-01,2.061893401322834052e+00,4.006469793228033538e-01,2.879602705286850028e-01,3.681583470503813071e-01
2.024382100584459110e+00,-1.436860774240900085e-02,-2.561949186271460288e+00,-1.112296938711390959e-01,5.452482218716953044e-01
-1.344409368150733419e+00,6.916382982755426845e-01,1.163705403211682032e+00,5.858965657462166243e-01,-4.801319042378467961e-01
3.053547537278018531e+00,1.367926834888905319e+00,-2.420111502629187505e-01,-6.258544806228452106e-01,-5.154521942291453440e-01
-7.869708088011129199e-01,1.580264132032538349e+00,2.290120212649838116e+00,2.783462614902521004e-01,-1.931700607785739182e-02
2.252121908362680003e+00,-2.957143612996273596e-01,-5.802157054323915375e-01,-3.352285982972122991e-01,8.802755139178048971e-01
-3.106033658921469431e+00,-2.975339679474163113e+00,1.234998038456856406e+00,-2.345394676145561713e-02,3.036944116467514276e-01
-2.591353485001877566e+00,2.140653332906588879e+00,9.741904771305174293e-01,1.906099299434290684e-01,-2.366384824772274353e-01
-2.085437227030991103e+00,1.343880858554580726e+00,2.155200524106891002e+00,1.003339878710138716e-01,-3.376713148043860024e-01
1.725327482618776109e+00,-2.305093910576354599e+00,-8.978695637513296468e-01,2.544963868742198820e-01,-4.542239906465037058e-02
-9.676549679170158846e-01,1.881005884208987844e+00,-1.469707759479259579e+00,6.530729747907262350e-01,-1.844025495898801437e-01
-2.627608046517550200e+00,-3.070502870540861018e+00,-5.131456370806679601e-01,1.928214564952371590e-01,1.459781417190052916e-02
2.380431543081479084e+00,2.829470165368304535e+00,1.447179700681747505e+00,1.101480472332269644e-01,5.964601052406771908e-02
9.396143862310983863e-01,-2.124675855683437309e+00,1.444079851351247612e-01,4.941379350355414868e-01,-2.170342385479933078e-01
-8.743419400587382206e-01,-6.352728056592122918e-01,-2.322880172366313722e+00,8.533307625108915717e-02,-4.968855577390510758e-01
-1.525570656774504208e-01,-1.924717519897962026e+00,-2.675089667212864786e+00,2.355602196960402683e-01,-1.170465377487981129e-01
-1.618826452056177256e+00,-2.987141517207020591e+00,3.789878417517367204e-01,-1.730242564927657045e-01,1.696022753333743804e-01
2.445247139758427224e+00,1.449520896769664446e+00,2.809482779533569285e+00,-3.340453081719845785e-01,1.193650468239270263e-01
-2.683381002322970943e-02,1.210018789758432689e+00,2.442654056028305654e+00,3.108918038258587369e-01,1.969174794813885465e-01
-2.886001497693811757e+00,-4.898762237616782755e-01,-5.098389473721245402e-01,-9.113641783122283790e-01,1.494566199078725677e-01
-1.217132855147089909e+00,1.308733728732390134e+00,6.603061693381295783e-01,6.696643022446917559e-01,-1.724703760790498586e-01
2.977327567726969271e+00,-9.941691187248444805e-01,-1.248459266525593803e+00,-3.493785069608696392e-01,5.536637793685195152e-01
9.235757942848357160e-01,-1.189056669696286761e+00,-1.232017049218033122e+00,5.972350043248221274e-01,-2.205425623308773786e-02
1.283453707922283193e+00,-1.094046105300502614e+00,4.585053640486007609e-01,6.564387765343978609e-01,6.003780527821571678e-01
-2.943426931850151362e+00,-6.854989381816922744e-01,2.523184780960030515e+00,-5.893083660957116887e-01,-1.383027823525457833e-01
2.225944942534798798e+00,1.750275358583571084e+00,1.720852049552263452e+00,-2.704453703600099290e-01,-8.046506686796103813e-02
