# link_lengths=0.3,0.25,0.2,0.15
theta_0,theta_1,theta_2,theta_3,gt_x,gt_y
2.740277291549028327e+00,-2.053749063766950211e+00,-1.468443416609734875e-01,1.478004262539599267e+00,2.394795696484548764e-02,5.136949719896994893e-01
1.667624783719967141e+00,-2.589248532408184200e+00,-2.715014218884198804e+00,-1.714199371249896409e+00,3.553179599509964648e-02,3.149161872559987363e-01
1.064284054536627444e+00,-7.407085051485475802e-01,-2.057238636955180056e+00,1.462705899616165262e+00,4.946630006231814702e-01,1.043208191271188245e-01
-2.876204687346600952e+00,2.125100391931902699e+00,-2.742085336986650468e+00,-4.643661494651833976e-01,-3.973031820958716764e-01,-7.115930613910824432e-02
1.718197448193934385e-01,-9.377157419702797370e-03,4.359937684750616604e-01,1.056462599536187597e+00,6.949343509995618007e-01,3.538650228894514860e-01
-2.685097612190490590e+00,9.900861264333524758e-01,2.990144943306100700e+00,-1.534453980818864416e+00,-1.000930399987465524e-01,-2.234226190410579793e-01
6.671984490371762888e-02,2.261791494199794528e+00,1.271263200490891698e+00,1.549909883416265011e-01,-1.745289063432736709e-01,2.681974846008233770e-02
1.390794605635043091e+00,-2.273638504018329343e+00,-1.137388303897464148e+00,2.616386011962171132e+00,2.496822308862503559e-01,6.097196481663597067e-03
-1.364988852532104779e+00,-1.671561160469988705e+00,2.328086831827348213e+00,4.176127512080678450e-01,1.082578728922998224e-01,-4.930298441744850879e-01
2.553735315447980270e-02,2.749537306045938934e+00,1.266102387534465912e+00,2.305692684202242937e-01,-1.218582462149019607e-01,-1.950332677299455031e-01
2.825595561698320601e+00,2.703351752743123448e+00,6.770917369231677085e-02,3.116945962004747273e+00,-6.189680281368137305e-02,-1.068166020799817956e-01
-1.384306320033329651e+00,-5.565869198787130046e-01,2.076553500890918613e+00,7.682282845557337758e-01,2.561431680776306008e-01,-3.829617693840176584e-01
-3.019269254572940930e+00,-4.750459813559437805e-01,5.885123777077621021e-01,1.886255788297074965e+00,-6.482705129085130080e-01,-1.247448915460898644e-01
-1.834933281435136898e+00,-1.310584071317431931e+00,1.165763935315256461e+00,-1.935545975824977116e+00,-5.151502804357556142e-01,-3.673027557953370548e-01
1.074430843328586072e+00,2.056929146307414413e+00,-2.876797702187899208e+00,1.524484632161148490e+00,5.542535722158303119e-02,4.634773739870838849e-01
1.536233311228387244e+00,2.465227178026640154e+00,-3.065954901049054548e+00,-1.738252885331481812e+00,7.012473956139290976e-02,1.634714700250411434e-01
3.100945933550580236e+00,4.040303429597007501e-01,-1.879137891331945864e+00,-1.748341197446737549e+00,-3.955540545951100606e-01,1.046985425569595257e-01
3.296817260490056967e-01,-5.418115719563836308e-01,1.469669897725533581e+00,1.963734915247789203e+00,4.403473644958508793e-01,2.228142839128522679e-01
4.982607671504588609e-01,1.463740535685102095e+00,2.611946275134283901e+00,2.506098225606705476e+00,2.454422546338086430e-01,2.836704456976389399e-01
3.140409717369339049e+00,2.915504761210581108e+00,2.968173305038651399e+00,-3.037043917982080732e+00,-9.711650355568318682e-02,-2.173894322526026546e-02
