# link_lengths=0.4,0.3,0.2,0.1
theta_0,theta_1,theta_2,theta_3,gt_x,gt_y
-5.769465488296439126e-01,2.254463143551636684e+00,3.137554059583814059e+00,-2.724964009329288839e+00,2.741696191066942401e-01,-3.202408397647130145e-02
1.880101577382919942e+00,2.705001066691345102e+00,3.134079934414403468e+00,2.680011188266118616e+00,-1.891285540102735363e-01,1.988933836704238622e-01
2.437322360950579636e+00,-2.136159176591466480e+00,-1.499878155425408366e+00,-4.607907637957602276e-01,4.551565974620125354e-02,6.205920780729540231e-02
2.393401906171176208e+00,1.141464642447561850e+00,2.382574882200716004e+00,-1.320577730358780233e+00,-3.950214464084153554e-01,-1.370104512282077636e-02
1.086877001407605015e+00,-2.828500093983636887e+00,1.987033632043064380e+00,5.619321513982811211e-02,4.245953397252797412e-01,1.367340459384516205e-01
6.336220791432012334e-01,1.823148493342063858e-01,-2.008904778969791582e+00,-3.748658832371729588e-01,6.019880478570711624e-01,1.694442744720424665e-01
5.280730949814094188e-02,5.135252871583202428e-01,1.978434542748837011e-01,-5.514633802726360834e-01,8.947414433582058235e-01,3.415750555456245063e-01
-2.770376922062730785e+00,-1.212147316782938633e+00,1.132892771248908304e+00,2.878770270327145830e+00,-6.643641591027338311e-01,2.382720316058833249e-02
2.574493516853570974e+00,-2.403777663503918749e+00,-1.639786134783706606e+00,1.771917405270668766e+00,7.401315105173829345e-02,9.669919217800562738e-02
1.039985695139931110e+00,2.636466499080834858e+00,2.052905894159248845e+00,-1.530929152356407918e+00,6.533158494408630723e-02,-2.269509417837517473e-04
6.809469493659259243e-02,1.771432237013894628e+00,7.246543108236052078e-01,-1.875424579554760163e+00,2.290486298396919862e-01,4.891785913944980413e-01
3.712106714817724473e-01,1.922444521498350767e+00,-1.036119587549445331e+00,1.290802766065124452e-01,2.542427109118686746e-01,6.586482606063358558e-01
1.057804720863300574e+00,2.996184429847017050e+00,-1.798115092592622366e+00,1.476471992936574829e+00,-1.968399666607829057e-01,2.103956587634014386e-01
2.742748688321809958e-01,-1.357319462216164396e+00,-2.169056755788339341e+00,7.240706387441600000e-01,2.451007797222395368e-01,-1.921985780269106492e-01
1.799426131693508957e+00,-2.819190358386427508e+00,-3.002287904605132507e+00,-1.319884353090266416e+00,-2.068707580899317722e-03,3.690314730527385900e-01
3.116508770408253248e+00,3.073832849231622255e+00,-2.035217135494767682e+00,1.774575667737964046e+00,-1.131223433266399653e-01,-2.221385650118841149e-01
2.268915869234726657e-01,3.132378404364929203e+00,2.223065339194193690e+00,1.524460929746858540e+00,3.176441596587344374e-01,-3.042181686273871810e-02
-1.372273970910701912e+00,2.563228863973206373e+00,-2.749254365470406025e+00,1.089665479417665672e+00,2.818382489125406121e-01,-3.586777768615860285e-01
1.571780148847627068e+00,2.774154033265775254e+00,2.673507162429348938e+00,2.889425281540105139e+00,-4.819826029320843641e-02,2.076822469458438347e-01
1.491288864354364918e+00,1.748293176250252046e+00,-1.889643457839681462e+00,7.840367084126054209e-03,-2.018370492748811640e-01,6.622683113514098441e-01
-2.756769139144842118e+00,-1.513028409719912259e+00,-2.845245429912626633e+00,-3.020315386959271819e+00,-4.403282594918497272e-01,3.832584721601675626e-02
-2.334190873651427189e+00,2.608743907742314683e+00,-2.730554455627131727e+00,1.435238668112285509e+00,-9.032462824546572122e-02,-4.195391333926929978e-01
2.579066450743458638e+00,2.484933069773240355e+00,2.101505495234990306e+00,2.134140010741155002e+00,-2.071869321960817523e-01,9.860778706546999284e-02
2.156574553259004823e+00,-1.898782279850759425e+00,-6.785573761978205276e-01,-2.417512069751797554e+00,1.560675371251960819e-01,2.982363738236424311e-01
-1.144076310378299821e+00,-2.276609553541380393e+00,-2.259346726329850341e+00,-1.122527428350907908e+00,1.286864191628484810e-01,-2.176714547212524609e-01
-8.610296726247272936e-01,1.338285803470768975e+00,-1.203437566058781050e+00,-1.282726231967649122e+00,6.342604060168988145e-01,-3.889617975585162313e-01
3.137052759091392140e+00,3.118432407718012556e+00,2.160451915527147548e+00,-1.701327467173676666e-01,-2.448667157606413680e-01,2.551713844304485113e-01
2.300679110058859500e+00,2.501504059898409515e+00,-3.241575424943810013e-01,-1.005203622170954603e+00,-3.808199270336289910e-01,-2.277433935636383744e-01
1.801522900285601914e+00,1.723338463488934380e+00,2.290485524587453803e+00,2.990335079839129939e+00,-2.726394423309937975e-01,2.450523036144784950e-01
-2.145217029748404336e+00,-7.055335395899140494e-01,-1.826815084587287696e+00,-1.783200502569755042e+00,-4.132761115558010734e-01,-2.396167478289103203e-01
2.785509661771595979e+00,1.181375995020038872e+00,2.692235983684203582e-01,4.062051690361445644e-01,-6.771072607105000918e-01,-3.584776446423703633e-01
-5.399051283768034892e-01,-1.453973393736314401e+00,7.572716801457279878e-01,-4.835419442429631509e-01,2.706520701414897312e-01,-7.669922473395126561e-01
6.984295736290908607e-01,1.388219902169618436e+00,2.387094556821844016e+00,-1.383924099103754468e+00,1.121478016186289173e-02,3.290110889520931892e-01
1.227326709824694717e+00,-1.311435671785703860e+00,-1.323877006374487797e+00,2.623472751507769374e-01,5.073067541166600414e-01,6.298131847761624658e-02
3.017388336888831901e+00,3.654084763028264682e-01,1.635767569495809148e+00,-6.934591903697353565e-01,-6.657185859221366186e-01,-3.054000399633126639e-01
3.732650707678022428e-01,1.488340525537713788e+00,-7.798684026773936573e-01,-2.842665220600568254e+00,3.614986706683440687e-01,5.116238077898001002e-01
-2.597017762359221216e+00,-7.523881434784041033e-01,1.632498775868189256e+00,-9.170338469743417598e-01,-7.521915137327234158e-01,-3.918071999525465365e-01
-2.570256064759631975e+00,-1.788240753404820582e+00,-1.610866257200352258e+00,9.827040712414527590e-01,-2.231204464743366533e-01,2.231081635759706305e-01
-2.771791383532055342e+00,5.568023780607096462e-01,2.188537016140138292e+00,2.014125307715259439e+00,-3.936862652897800130e-01,-2.983015058765400851e-01
-1.280040475259198729e-01,4.991148419933568725e-01,-2.204882801364685285e+00,-1.701657599250492092e+00,5.319696274383881596e-01,-9.701735855491977478e-02
-2.249771291139811780e+00,2.053095254944885539e+00,1.525643036647208461e+00,-2.643056216614477094e+00,1.163037172184837043e-01,-2.724527228730478368e-01
3.068214088229632708e+00,1.066122851175921760e+00,-2.825065994905462841e+00,2.724816636928442115e+00,-5.738779111649947584e-01,-1.065981088514167813e-01
2.167425217393192050e+00,-2.427025831788891530e+00,7.951955188388817319e-01,-5.494137117046093977e-02,3.258673117594138025e-01,4.021918076323092173e-01
8.909668602420515171e-01,-2.177613357388347382e+00,2.797914062495201470e+00,2.781053988620235451e+00,3.066831272652732476e-01,1.314414666614587834e-01
-3.942256120518519147e-01,6.320456360811230745e-01,1.077275913530858276e+00,-1.215937020214100661e+00,8.109672627681848711e-01,1.204349722670327305e-01
-1.237410106304079438e+00,1.619125087928757978e+00,-1.459696890310849371e+00,-5.921156615284326463e-01,4.940136557481721313e-01,-5.419304201917434227e-01
1.254494840500522734e+00,5.229264585084090200e-01,2.354694856485697763e+00,3.647563204737491738e-01,-6.816151451409548090e-02,4.088263833258830582e-01
-6.624368372969935415e-01,1.585770159718856931e+00,-5.505578519130489568e-01,1.580170648351291618e+00,6.453201842518971887e-01,1.588957776007957623e-01
1.248835033680425255e+00,9.450257286918040123e-01,1.602457413796784635e+00,1.951298506684959300e+00,-1.211320401646224787e-01,4.502535601777210017e-01
-1.813381526604581628e+00,-2.012805584038842355e+00,-2.853704499712733433e+00,-1.411652757191446339e+00,-1.675535676806431395e-01,-3.730483699237570061e-01
2.276534351919945465e+00,1.487346114346173032e+00,-3.816124606073860726e-01,-2.223514916049658119e-01,-7.974210614170078593e-01,8.008054276238223135e-02
4.009677859828886248e-01,-2.493765661676873968e+00,-7.734043734857229957e-01,-2.749810647325589663e+00,1.047822585853538796e-01,-9.643086583204048268e-02
-3.971826349053482197e-01,-2.428257144253283428e+00,-1.166871424955568060e+00,1.739058024157531079e+00,-1.112285611664285412e-01,-1.752541218963617198e-01
2.546461317009761416e+00,2.299322119248695451e+00,-3.931195059891963162e-01,-3.661756415157322309e-01,-4.012759028294043961e-01,-3.474235420647047712e-01
2.521602179333052973e+00,2.172875378846371497e+00,1.836373712060773045e+00,2.237152848623329859e+00,-2.162259024012496700e-01,4.254394924934161437e-02
2.892597805610195749e+00,-1.924292002008723967e+00,-2.932429696850353817e+00,-2.882238581422040369e+00,-2.809508657871729320e-01,2.601261413355548391e-01
-1.176872526734747293e+00,-8.111710543722758793e-01,-1.976193158322406829e+00,-1.217936039457542030e+00,-5.883553882426633547e-02,-4.078704033330098344e-01
2.021379641767633295e+00,1.377861510519248434e+00,-6.052342250824560566e-02,1.304176420950192927e+00,-6.673644587675974238e-01,1.447062781448080482e-01
1.659892125593138701e+00,1.784213682279680135e+00,1.373094864510720825e+00,-1.401046909258775175e+00,-3.972988731176312349e-01,8.302247661301953574e-02
1.420994730534584249e+00,2.518246324137773939e+00,2.215995240376034126e-01,2.044252522765560798e+00,-1.549268282428935273e-01,2.661442940509638894e-03
-5.498429606340575759e-01,2.238231628592875389e+00,1.194538793554711376e+00,-2.295493847156644840e+00,1.957363059152623652e-01,1.954876017529359467e-01
1.186656084523701082e+00,2.025054747707831559e+00,-3.051785133454865129e+00,1.660799860779855308e+00,2.335633660942274328e-02,4.785721346992970471e-01
2.577099763137075783e+00,-2.732588118433649349e+00,2.243368739183408955e-01,1.878065531567778557e+00,1.212317440087521264e-01,2.743047977413361482e-01
1.900044330368320544e+00,-1.737356867373773595e+00,2.456657937334654207e-01,1.078321742711571218e+00,3.586634727781277121e-01,6.061716253917187602e-01
-2.049381296434297894e+00,2.302289733069812883e+00,-1.966536594305413832e+00,2.164630521059299539e+00,1.677789247630137870e-01,-4.343692913589978222e-01
-2.193533407276412106e+00,2.504279807424693693e+00,1.470172928765449250e+00,-6.994538312631481958e-01,5.761492529690805803e-02,5.068259626617228897e-02
1.496681042183220178e+00,3.068494990086204410e+00,5.867453695633382260e-01,9.055572706568399965e-01,1.681813362132614786e-01,-1.012228888438232721e-01
1.856427305181533427e+00,-1.420830005356108483e+00,5.933009093605856599e-01,1.352012582319776612e+00,1.899962932399567039e-01,7.506670243527645559e-01
2.516865210141886244e+00,2.359135431524661541e+00,2.846968736960818980e+00,-1.772831355420940058e+00,-1.549516093680322337e-01,1.035504490790827847e-01
2.728885369719919574e+00,6.698289036359383886e-01,-2.543062120233550161e+00,-9.635118985573813966e-01,-4.259889782750544418e-01,2.243816212687778922e-01
