# link_lengths=0.2,0.2,0.2,0.2,0.2
theta_0,theta_1,theta_2,theta_3,theta_4,gt_x,gt_y
3.138927176350753356e+00,-1.433842688451113290e+00,-1.095124930055617618e+00,-1.078582336728229674e+00,1.021553500173083329e+00,2.857940004313835880e-01,3.280044389922557868e-01
6.058081223030526985e-01,-1.302352916439618591e+00,2.891196088882606041e+00,-7.640122899476060603e-01,-9.855908453045776341e-01,4.094452480872394773e-01,4.320366671282336313e-01
1.890949486665269852e+00,2.935918168413133245e+00,-1.886691505766297183e+00,2.463401180714121175e+00,2.671296119286142634e+00,-1.523827886930889663e-01,7.220071133886579728e-02
2.950730601336601922e-01,1.211775615742670453e+00,1.660510353151112284e-01,1.982110317339071948e+00,2.493789507721775323e-01,-1.350437913177544025e-01,2.202910526267918834e-01
-2.341687850430492546e+00,5.306308719084578129e-01,8.697687529364168668e-01,-2.177838479296136498e+00,-1.447266218017017048e+00,-2.982418380778203426e-01,-3.059971048839114083e-01
1.988890487015542163e+00,-2.934590121698286147e-01,3.351551962486896130e-01,3.570844695692221293e-02,5.114781285890379614e-01,-4.589566199242429145e-01,8.432806074359584514e-01
1.508683000403329366e+00,-1.551852513592405058e+00,1.800780001994602308e+00,-2.247449043806636126e+00,2.308491027202974166e+00,3.024989885434880010e-01,4.872947130001490934e-01
-2.730420794493037207e+00,2.016509784400080108e+00,-9.085020539753818625e-02,2.334528170239380529e+00,-1.748731996322616666e-01,1.575368014568679365e-01,4.015964009873590479e-02
-2.700612320177380177e-01,-1.178829057866955576e+00,3.721676089568619616e-01,2.383075466105399443e+00,7.107460812291410690e-02,4.026226966621490599e-01,-3.863539652998032592e-02
2.502673988808113315e+00,-1.961436414010068408e+00,1.049422196906169447e+00,-9.495675497624955774e-01,-8.178135333836467069e-01,3.640673884912721814e-01,5.067191628493266098e-01
2.533789986664388927e+00,-4.274663353001870725e-01,2.334634395334511225e+00,5.844151596333491128e-02,1.875037620252784087e-01,-3.672350574524885225e-01,-3.018804336012919087e-01
2.611957570539901852e+00,-2.163696177338208848e+00,1.532156812105477606e+00,3.089678600459835778e+00,5.413285209951075316e-01,1.545607136047303376e-01,5.936458298736811690e-02
1.728017474189678993e+00,4.834343916431040888e-01,-2.177437791462752070e+00,1.680092352092587227e+00,-6.010692990927157808e-02,3.839792340169654455e-03,7.619334185705567419e-01
3.036114913323001652e+00,-2.443238931820284954e+00,5.255495831618670621e-01,9.301941281385586180e-01,-3.107370624765300349e+00,6.042154990096282319e-02,3.159395810617556255e-01
-2.233278676006185570e+00,2.081650802904770003e+00,1.932806566518997293e+00,-6.149041845135592155e-01,2.186408088872930477e+00,-8.392145080688348524e-02,1.496401416920737915e-01
-1.912902201847123118e+00,2.683074192041948969e+00,-1.311364543907409974e+00,5.984987038004860871e-01,-2.752456089166407605e+00,2.671567892189717908e-01,-2.270869865375395036e-01
-1.634527903677975402e+00,-6.868066048094898512e-01,2.720880432911141789e+00,-2.684682846127593336e+00,-1.013002420572009843e+00,-2.934748187702648226e-01,-3.879818022216115492e-01
-8.508394466085578145e-01,2.316830398983404038e+00,-1.083306202399925144e+00,-7.586812678219492234e-01,1.070884047740870315e+00,6.779798423967723364e-01,1.778381161922474585e-01
-2.046903214318128938e+00,9.596546928453513203e-01,-1.400060600550528056e+00,1.504174166159140569e+00,-1.797739607779207383e+00,-2.336221820468640520e-01,-7.135827234935557817e-01
2.949049750690706517e-01,-2.863586592766710126e+00,1.611921473648331826e+00,-1.914130865373023793e+00,4.868359759889395733e-02,-2.440675703967238319e-01,-3.300302660346807193e-01
1.647821379537933950e+00,-2.454128502212332030e+00,-8.896294640486637206e-01,1.367850748185452048e+00,-3.165123822773918683e-01,4.472815502574827295e-01,-3.279980056813988076e-01
1.833734835653726414e-01,-8.043185402035710752e-01,-2.960840993922233988e+00,2.891223549897492084e+00,7.265747945440486077e-01,5.324266642897401702e-01,-1.148616994776368444e-01
-1.535628993279661403e+00,1.549473840254904644e+00,2.700505110292172439e+00,-2.719476519386675673e+00,1.961893917436703383e-01,4.213484658743103517e-01,-7.727968208113314419e-02
