# link_lengths=0.3,0.25,0.2,0.15,0.1
theta_0,theta_1,theta_2,theta_3,theta_4,gt_x,gt_y
-7.961237323097325458e-02,3.627825162699109818e-01,1.199794289513602230e+00,-7.542395820979361787e-01,1.823554167488553368e+00,5.854086034616101664e-01,4.006876848922318879e-01
2.768853546329905768e-01,8.663388382277430466e-01,2.438603769099791485e+00,-1.848597618683075705e+00,-2.592997772373535348e+00,2.523121288508744509e-01,2.965280200796932553e-01
2.495702091609482309e+00,-3.225617633845851984e-01,2.970869436933739394e+00,-1.109942651022025384e+00,-1.932246888786300021e+00,-4.423091328907363673e-01,1.743525082472698884e-01
2.535194494762906814e-01,-3.091161337136443699e+00,-2.054267322144952779e+00,-2.206842811214241973e+00,3.070968932291431308e+00,1.271634444441284706e-01,1.654562886203235772e-01
-2.337252744318279341e+00,1.597548624330769051e+00,1.547915772372237875e+00,1.004478378861076493e+00,-1.238686904267574551e+00,1.627916188170147049e-01,-4.008593664200989920e-02
-2.082478522566582058e+00,-7.657452669107551735e-01,5.173238890295386305e-01,2.725313380857866896e+00,-5.773479456058905335e-01,-2.871967585922090560e-01,-4.393758173209277307e-01
6.084235742439636496e-01,-6.558819504838750980e-01,-9.925329933257551751e-01,1.995625265910428325e+00,-2.580954348114495644e+00,6.782430464853237417e-01,9.782843175529548629e-03
2.172030604998131942e+00,-1.822461690736155715e+00,1.799735702061830978e-01,-1.289413929332457354e+00,-1.572796365346689207e-01,4.073366591540285020e-01,2.513308478042400873e-01
1.020933797492785011e+00,-2.167635256163245039e+00,1.861310202167913097e+00,8.490140944776571885e-01,1.420987067730707487e+00,3.130206132289552468e-01,3.246204234605118977e-01
5.209154777370637035e-01,-2.672861187771392366e+00,-1.640491731870168834e+00,-2.769700049246733631e+00,-3.761968413826837221e-01,1.873458662971319022e-01,-4.071400525024778533e-02
5.342141294242455096e-01,7.689173863360023731e-01,-1.136932176878375778e+00,6.709300241681366295e-01,1.119137362252049961e+00,5.844050161717845304e-01,6.310050516748726412e-01
6.162793813993130421e-01,-8.994358442115655272e-01,-1.720623710984682253e+00,1.968215358513605295e-01,2.307136361582858619e+00,4.535924990174068361e-01,-1.758679190086475386e-01
2.317744480161952225e+00,-3.177040807460644878e-01,1.696772342002299538e-01,1.055489733454431978e+00,2.853546599848338694e+00,-4.721753313863051860e-01,5.798100752474747432e-01
