# link_lengths=0.2,0.15,0.15,0.15,0.1,0.1
theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,gt_x,gt_y
-1.561333025148678111e+00,-1.133552921754850562e+00,1.238926662171373927e+00,-5.640684943897640302e-01,3.787737661852510485e-01,1.375198215701479931e+00,-9.190025190831878354e-02,-6.749645908109568326e-01
1.296366367021347443e+00,-4.286427688641016864e-01,1.003814193294013890e+00,-2.831858727684347432e+00,8.067288069240534654e-01,-1.739536639793922701e+00,2.598834756745002639e-01,2.171572474552621035e-01
-9.540044506180604955e-01,-2.127496801018308847e+00,-2.379615343868057398e+00,1.549748428164991587e+00,-5.618379322298938661e-01,2.881492554510622028e+00,-6.543143778895650631e-02,3.929856422966925000e-02
2.975420859012928965e+00,1.146145205523963817e+00,-2.071975605372787577e+00,2.650453889429092769e+00,-9.820648853598408223e-01,1.132688890219133881e+00,-4.218195882925852014e-01,-2.618919368774833001e-01
3.857972675916570005e-01,9.728029122357861880e-01,-2.059895016989096383e+00,3.459205405178784609e-01,-1.824858498080035751e+00,1.554123793107421214e+00,4.959102218382611116e-01,-6.767382076759714815e-02
2.594956733391826198e+00,-2.657236593763329768e+00,2.646461142142459977e+00,1.242517899227807199e+00,-6.662496691219197409e-01,-1.226067162585274151e+00,-4.001383020927351541e-01,1.706398558349158101e-01
1.837332220667189375e+00,-2.928997698623228896e+00,-1.071927677486022024e+00,-3.328957253518418646e-01,5.953664518554702134e-01,-3.015154593438356123e+00,-1.993723857574525582e-01,-1.514359721707703166e-01
1.157517562007607914e+00,-1.827737521484450456e+00,-1.777146983382319467e+00,-2.024525245930216322e+00,-2.938967144057273551e+00,2.459128023137561847e+00,1.134480338637144925e-01,1.465100899492376707e-01
2.940114862934265716e+00,2.553376391620783004e+00,3.745081495866258159e-01,1.550223657526172083e+00,-1.119828143976901114e+00,-2.108808232289594464e+00,1.602833690515050036e-01,-7.614012042000177505e-02
2.645297825737918274e+00,1.082980890956967812e+00,-1.492625852433588030e+00,-1.750254499557399646e+00,1.022126274868623952e+00,-2.494770183592197377e+00,-1.992341124042270040e-01,2.165771508469896689e-01
2.787565094726421222e+00,1.564938588391449059e+00,-2.507430321445573540e+00,2.886994799700453029e+00,-2.279777517428677847e+00,2.841986827405603044e+00,-3.003065680944512206e-01,-9.657542214145951875e-02
2.335496812252952914e-01,1.642018763555344485e+00,-2.067320240867319026e+00,2.113002625914293553e+00,-1.665512051744678867e+00,2.470776825586615821e+00,2.505500501570376848e-01,3.672915114815700210e-01
9.717768274478855162e-02,-1.338096172440835341e+00,2.402243084113696803e+00,-1.112180212197899642e-01,4.464700711403626343e-01,1.160141317582879417e+00,3.009278390212902776e-01,2.915482482517356422e-01
2.753759254878224816e+00,-1.376391490908210891e-01,2.175304208526807948e+00,2.263143800234634462e+00,-3.840622001123041862e-01,-4.538092704227159047e-01,-3.152619322187660833e-03,1.370442643950140760e-01
1.124826271897293672e+00,2.509525014383843455e+00,-2.528958523609601716e+00,-1.528325472952911435e+00,-1.548841467909040093e+00,-2.258480293403092976e+00,7.281384302185653357e-02,1.784931633531869899e-01
-1.404517760094743606e+00,2.624802650984432439e-01,-5.242935707839215809e-01,-2.356459676100319811e+00,2.901361199010361602e-01,2.546813641360121672e-01,-1.917089768086647494e-01,-2.785230419261065515e-01
-1.464243342293571670e+00,-1.967846336690450837e+00,7.698036104643022348e-01,-1.850360617217861048e+00,-1.901721009843658106e+00,-1.571925260361558330e+00,-1.993564695944663456e-01,-1.902649987969294298e-01
-1.367361390763081719e+00,-2.730564974214857443e-01,-1.912698629993354382e+00,-2.980690264743225182e+00,5.527198769419534585e-01,-1.260647831571802824e+00,1.907512404738910261e-01,-3.747956852660037086e-01
-1.560481832228272969e+00,-1.102994069587963644e-01,-1.474387277249413764e-01,8.835275525244385975e-01,8.349678561369788810e-02,-2.801746243721929375e+00,1.816388944569249930e-02,-6.416061252064744203e-01
