# link_lengths=0.15,0.15,0.15,0.15,0.15,0.15
theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,gt_x,gt_y
-6.238944946588911300e-01,-2.895523860283255146e+00,1.780522199042149367e-01,-5.935087151172866449e-01,7.336049075843282807e-01,-1.269782735050397626e-01,-5.670496877949871006e-01,1.411533596556605041e-01
2.175040869154615919e+00,-2.580928969535139839e+00,-2.580834815493901591e+00,3.005130471298277151e+00,-4.844285503114056368e-01,2.370065680218955251e+00,1.392989063689590856e-01,1.181852082655521219e-01
-2.597478315205141719e+00,1.371832990571008715e+00,-1.293028296136797373e+00,3.024404012877808690e+00,1.848184413227405898e+00,-2.021255669313838155e+00,-3.223815282347677891e-02,-7.835585057549307453e-02
2.459500011750735737e+00,4.208926338248404342e-01,-2.269695475993121381e+00,-1.770617060666014986e+00,5.947996303346414493e-03,-2.728951563022498750e+00,-1.284579436527990837e-01,4.593260622565500939e-02
2.497847323461434677e+00,1.797580317980796316e+00,1.506593270351299196e+00,-2.920831433162554447e+00,8.522179623645596003e-01,8.706747886580314955e-01,-3.334037754932111519e-01,-3.107217856494259856e-01
-6.424271246055512918e-01,-2.006665820174613479e-01,-5.205507765037733492e-01,1.784101865411697574e+00,-9.411755551427321009e-01,2.949478500636606881e+00,4.042987727458092206e-01,-2.639717638110673503e-01
-1.642978857007582283e+00,-1.833972598553535338e+00,2.578191702892871362e-01,1.568617444299382768e-01,9.639348068734943098e-02,4.171845365800042060e-02,-7.456978512319305530e-01,-1.590903788548237441e-01
9.017258876744005391e-01,7.436434709476351657e-01,-3.806794731291089917e-01,1.908495319415275837e+00,9.268982482528169697e-01,2.118313736744773301e+00,4.061203103202526421e-02,2.730717338784191539e-01
1.204969726611659908e-02,-2.733118253995217461e+00,1.246665761600622702e+00,1.105656880263024888e+00,9.039095374062320332e-01,-1.607204411031291302e+00,3.681892460111400034e-01,-3.180284887739894817e-01
3.535273276492874039e-01,1.164386949909022029e+00,1.983824410570571573e-01,2.051150426519058101e+00,-1.401582028905730359e+00,7.051213427690106172e-02,-2.159729058610656560e-01,4.645332296828579843e-01
-2.057500868807209393e-01,-1.845540100117181170e+00,-1.931165793983407042e-01,-1.446155555870122011e+00,-2.761416708129629249e+00,-1.315681297688802820e+00,1.677279524270867961e-02,-3.772656257390076262e-01
-2.567163529762952479e-01,2.609691781191871840e+00,-2.551844593516945814e+00,-1.599859086649610962e+00,9.108083978477745646e-01,-2.986610157084817807e+00,1.356815923171333926e-01,-1.234392677217071022e-01
1.912512255061991517e+00,-1.638491220479634247e+00,2.538530902266086464e+00,8.591891733453591584e-01,1.232625925506503961e+00,5.058050559648528122e-01,-5.222654674254618989e-02,-1.076456416052748583e-01
-1.895809279353425802e+00,1.459129660391461414e+00,2.369380791227047922e+00,2.825247574179152288e+00,-1.494423678045182502e+00,1.171121010079573033e+00,-1.482650445141368567e-01,-3.776437620345298174e-01
-7.824821658900060761e-01,-2.399418140819170375e+00,-1.972632728078527631e+00,1.708535876747990123e+00,2.813597133893315672e+00,2.693440982598389155e+00,-7.205997720574439103e-02,1.244927546754849707e-01
4.134698092745359155e-01,9.112218866375529913e-01,-8.904240979329651751e-01,-1.728994195233159781e+00,-1.927171480587314134e+00,-3.929714699032782477e-01,6.783871320494586077e-02,2.049441667799178357e-01
2.536211507689298372e+00,-2.688754131389293089e+00,4.460475490365110041e-01,2.184608615655325714e+00,2.485580964108006441e+00,-2.751784386635976354e+00,-2.090353800387162453e-03,1.732703934936331569e-01
-2.193360515029010305e+00,-3.804935804665587895e-02,-2.327490016624816249e+00,2.555156649260629464e+00,2.856069430548697774e-01,-6.559159823524303157e-01,-3.953376831406842373e-01,-4.807535855130333213e-01
-9.885504328207379565e-01,-2.044707621582838808e+00,2.118641569472264230e+00,2.770581409286088537e+00,-3.102780112772887122e-01,7.819158129639891541e-01,-1.165436193319676905e-01,1.425975369004080229e-01
-2.402966313944343568e+00,3.058215724709879346e+00,2.980011222357461520e-01,-3.809967743403066542e-01,1.983702389411434730e+00,1.120347344597132810e+00,-3.308339481685659833e-02,2.004077882281843082e-01
-9.644018565305070290e-01,-1.478504859576723840e+00,1.768209448548621054e+00,-1.018335620834770250e+00,2.163891874814914296e+00,1.553265310330407267e-01,3.246947939785851944e-01,-3.063614060295919983e-01
3.094480178690580452e+00,-1.584171743609716909e+00,2.773252462108695582e+00,-8.258200170862139977e-01,-2.413022042251410593e+00,-2.563117760234419507e+00,-2.625249261400461886e-01,-4.634094421271682529e-02
6.832482090228957361e-01,3.051395419038166246e+00,-9.783877992261929002e-01,2.128715288934015959e+00,-1.712679194409944428e+00,2.372065251927990559e+00,-1.603393460033912254e-01,-1.861452062695896914e-01
-1.552913712801426982e-01,-2.152974792391488812e+00,-1.399884934477704235e-01,-1.239629804401753299e+00,2.372451524554115565e-01,-3.221634118298766225e-01,-4.601943932828131412e-01,-1.802298935213281217e-02
2.332352393167169247e+00,2.641725037228994211e+00,-2.681723223114994781e+00,9.716677780774460871e-01,2.032314073605582472e+00,-1.751402372341830160e+00,-3.679260227267081573e-01,-1.260486075082398461e-01
1.680567350846951413e+00,-2.613892789730000388e+00,1.573473347459103167e+00,-3.072901420142747586e+00,2.240137512740960624e-01,-1.278720595731392962e-01,-1.140249092696108135e-01,-2.081101287131795763e-01
4.477743976199421994e-02,2.288397545989250936e+00,1.738219760626313892e-01,-5.621267612382090384e-01,1.737691192420585118e-01,-2.730130863467853608e+00,-8.466337493322184660e-02,3.856825127151449761e-01
1.773874146799219176e+00,1.821225378816523133e+00,2.586467168854603926e+00,2.446132800417331055e+00,2.901631810362829356e+00,3.123471229514917624e+00,-1.183313777318691085e-01,1.746422156234737899e-01
-2.979657319435847107e+00,-1.600633559406885897e+00,3.064249727966927850e+00,-2.139017084567706117e+00,1.694122170613097111e+00,-9.021134179409528997e-01,-4.915088496193744660e-01,-1.315581622725456867e-01
9.734259809547483044e-01,5.793502320645149695e-02,-2.236137177653604979e+00,4.974785003034112307e-01,-9.808420790069014572e-01,2.046625060986827727e+00,4.520249110424578998e-01,-8.114874990041595626e-02
9.364101821626213962e-02,1.788575453778357804e+00,2.249830451109342100e+00,2.960719613513857595e+00,-8.083769275269854226e-01,-2.123905631647882153e+00,1.959583043494863563e-01,1.242058200123893896e-02
5.608526398769235755e-01,3.864841849995692691e-01,-2.370732448754173660e-01,-1.827881719955507078e+00,-2.068597147847762940e+00,9.875004000487130895e-01,1.560297220756493297e-01,4.981517843253305267e-02
7.355853638312832565e-01,1.233720544146930997e+00,6.151635686056118324e-01,-1.526021587723436213e-01,-7.200235065974265325e-01,-1.598630087060401106e+00,-6.013646614829765147e-02,5.814112520301192299e-01
-2.788882136562871317e+00,1.023758536635282823e+00,-7.098623275366526819e-01,-1.469097776352195517e+00,-9.813394231390253353e-01,-2.358853864945514189e+00,-2.792367694885556362e-01,-1.635780356611980790e-01
-3.021309408261912299e+00,-3.096078551226528752e-01,-2.448360509000034213e+00,-2.674681373420224606e+00,-3.404009422488019077e-01,-2.624013422252557959e-01,-5.106977528104722497e-01,-1.835314337168093557e-01
2.551749726480585956e+00,-2.352438107319986038e+00,-1.007311176040617706e+00,-2.970196432098466399e+00,2.117090494676270751e+00,-2.372544288853143613e+00,-1.022995836012474263e-01,6.123393551497829934e-02
-2.165121164471258020e+00,-1.567569704116640317e+00,-2.356055417139645947e+00,-1.730559704687689937e+00,-2.730612420894811709e+00,4.364640500362102493e-01,-2.366387107883142493e-01,6.906116103934960282e-02
-9.890689749272612019e-01,1.659061941689112807e-01,2.751634037633972518e+00,7.338842197989521310e-01,1.519911492795185559e+00,7.485006774857358991e-01,-4.455935650774183604e-02,-3.014991381216545197e-01
-1.221163616783232708e+00,-8.123979763840294410e-01,2.041912878040518464e+00,-1.629944555352996316e+00,2.993232319233594119e+00,-2.573484778086064129e+00,2.105698113190853094e-01,-4.165727422769146537e-01
2.635462593796590092e+00,-1.064265927284855806e+00,-2.066864858146077566e+00,2.809711538379018769e+00,-2.001492407532448503e+00,-2.333411021641218497e-02,1.856941829074523487e-01,3.507210623991426357e-01
